Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-07-23_12:35, None, None, None, 3.05, 2.661, 283.66, 0.0, 0.0, 0.0, 0.0
2018-07-23_12:36, None, None, None, 3.06, 2.495, 283.66, 0.0, 0.0, 0.0, 0.0
2018-07-23_12:36, None, None, None, 3.06, 2.5, 283.66, 0.0, 0.0, 0.0, 0.0
2018-07-23_12:46, None, None, None, 3.03, 2.319, 260.29, 0.0, 0.0, 0.0, 0.0
2018-07-23_12:53, None, None, None, 3.07, 2.363, 258.68, 0.0, 0.0, 0.0, 0.0
2018-07-23_13:01, None, None, None, 3.03, 3.06, 257.88, 0.0, 0.0, 0.0, 0.0
2018-07-23_13:09, None, None, None, 3.06, 2.92, 257.88, 0.0, 0.0, 0.0, 0.0
2018-07-23_13:17, None, None, None, 3.07, 3.087, 231.28, 0.0, 0.0, 0.0, 0.0
2018-07-23_13:25, None, None, None, 3.05, 3.074, 257.88, 0.0, 0.0, 0.0, 0.0
2018-07-23_13:32, None, None, None, 3.07, 2.551, 257.88, 0.0, 0.0, 0.0, 0.0
2018-07-23_13:40, None, None, None, 3.05, 2.613, 244.98, 0.0, 0.0, 0.0, 0.0
2018-07-23_13:48, None, None, None, 3.07, 2.56, 269.96, 0.0, 0.0, 0.0, 0.0
2018-07-23_13:56, None, None, None, 3.05, 2.611, 251.43, 0.0, 0.0, 0.0, 0.0
2018-07-23_14:04, None, None, None, 3.07, 2.719, 260.29, 0.0, 0.0, 0.0, 0.0
2018-07-23_14:12, None, None, None, 3.06, 2.388, 260.29, 0.0, 0.0, 0.0, 0.0
2018-07-23_14:20, None, None, None, 3.03, 2.705, 244.98, 0.0, 0.0, 0.0, 0.0
2018-07-23_14:27, None, None, None, 3.06, 2.407, 269.96, 0.0, 0.0, 0.0, 0.0
2018-07-23_14:35, None, None, None, 3.04, 2.432, 249.82, 0.0, 0.0, 0.0, 0.0
2018-07-23_14:43, None, None, None, 3.04, 3.121, 243.37, 0.0, 0.0, 0.0, 0.0
2018-07-23_14:51, None, None, None, 3.04, 2.585, 205.49, 0.0, 0.0, 0.0, 0.0
2018-07-23_14:59, None, None, None, 3.05, 2.546, 231.28, 0.0, 0.0, 0.0, 0.0
2018-07-23_15:06, None, None, None, 3.04, 3.08, 205.49, 0.0, 0.0, 0.0, 0.0
2018-07-23_15:14, None, None, None, 3.05, 3.059, 231.28, 0.0, 0.0, 0.0, 0.0
2018-07-23_15:22, None, None, None, 3.06, 2.901, 225.64, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:04, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:08, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:09, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:16, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:17, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:18, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:18, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:19, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:20, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:21, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:23, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:24, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:33, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:34, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:34, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:36, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:42, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:44, None, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:56, 26.1875, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:57, 26.1875, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_10:58, 26.0, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:44, 26.0, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:45, 26.0625, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:47, 26.125, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:50, 26.0, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:51, 26.125, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:52, 26.0, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:52, 26.125, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:53, 26.1875, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:54, 25.875, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:55, 26.0, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:56, 26.0, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:56, 26.0, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:57, 26.0, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_11:58, 26.25, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_12:09, 26.1875, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_12:19, 25.8125, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_12:29, 25.75, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_12:39, 24.625, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_12:49, 25.25, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-10_12:59, 25.3125, None, None, None, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-14_08:15, 20.0, 915, 78, None, 4.352, None, 0.0, 3.456, 1.031, 0.0
2018-08-14_08:15, 20.0, 909, 77, None, 4.352, None, 0.0, 3.475, 0.0, 0.0
2018-08-14_08:16, 20.0, 900, 76, None, 4.352, None, 0.0, 3.48, 0.0, 0.0
2018-08-14_08:16, 19.875, 844, 67, None, 4.352, None, 0.215, 3.48, 0.0, 0.0
2018-08-14_08:16, 19.875, 868, 71, None, 4.352, None, 0.0, 3.48, 0.0, 0.0
2018-08-14_08:16, 20.0, 838, 66, None, 4.352, None, 0.0, 3.48, 0.0, 0.0
2018-08-14_08:16, 19.875, 800, 60, None, 4.352, None, 0.0, 3.465, 0.0, 0.0
2018-08-14_08:16, 19.9375, 798, 60, None, 4.352, None, 0.054, 3.48, 0.0, 0.0
2018-08-14_08:16, 20.0, 763, 55, None, 4.352, None, 0.0, 3.475, 0.0, 0.0
2018-08-14_08:16, 20.0, 744, 52, None, 4.352, None, 0.108, 3.47, 0.0, 0.0
2018-08-14_08:16, 20.0, 717, 48, None, 4.352, None, 0.0, 3.46, 1.031, 0.0
2018-08-14_08:19, 19.9375, 400, 0, None, 4.352, None, 0.108, 3.465, 0.0, 0.0
2018-08-14_08:19, 20.0, 400, 0, None, 4.352, None, 0.0, 3.48, 0.0, 0.0
2018-08-14_08:21, 20.0, 400, 0, None, 4.352, None, 0.054, 3.475, 0.0, 0.0
2018-08-14_08:22, 20.0, 408, 1, None, 4.352, None, 0.0, 3.47, 0.0, 0.0
2018-08-15_13:25, 21.3125, 65021, 65021, 0, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-15_13:25, 21.375, 65021, 65021, 0, 4.352, None, None, None, None, None
2018-08-15_13:25, 21.25, 65021, 65021, 0, 4.352, None, None, None, None, None
2018-08-15_13:25, 21.375, 65021, 65021, 0, 4.352, None, None, None, None, None
2018-08-15_13:25, 21.3125, 65021, 65021, 0, 4.352, None, None, None, None, None
2018-08-15_13:25, 21.3125, 65021, 65021, 0, 4.352, None, None, None, None, None
2018-08-15_13:26, 21.375, 400, 0, 26, 4.352, None, 16.559, 0.0, 738.294, 12225.41
2018-08-15_13:26, 21.3125, 400, 0, 3, 4.352, None, 15.484, 0.0, 738.294, 11431.744
2018-08-15_13:26, 21.3125, 400, 0, 12, 4.352, None, 15.484, 0.0, 738.294, 11431.744
2018-08-15_13:27, 21.3125, 400, 0, 0, 4.352, None, 14.892, 0.0, 737.262, 10979.306
2018-08-15_13:27, 21.375, 400, 0, 8.352, 4.352, None, 14.892, 0.0, 737.262, 10979.306
2018-08-15_13:27, 21.4375, 400, 0, 0.288, 4.352, None, 15.161, 0.0, 740.356, 11224.537
2018-08-15_13:28, 21.375, 401, 0, 0, 4.352, None, 14.14, 0.0, 739.325, 10454.056
2018-08-15_13:30, 21.4375, 409, 1, 4.896, 4.352, None, 13.656, 0.0, 739.325, 10096.222
2018-08-15_13:46, 22.125, 400, 0, 0, 4.352, None, 55.0, 0.0, 738.294, 40606.17
2018-08-15_13:47, 21.9375, 414, 2, 6.912000000000002, 4.352, None, 55.0, 0.0, 736.231, 40492.705
2018-08-15_15:59, 22.1875, None, None, 2.304, 4.352, None, 0.0, 0.0, 0.0, 0.0
2018-08-17_10:05, 23.8125, 400, 0, 11.808, 4.352, None, 55.0, 0.0, 735.2, 40436.0
2018-08-17_10:12, 23.9375, 400, 0, 0, 4.352, None, 55.0, 0.0, 732.107, 40265.885
2018-08-17_10:13, 24.0, 406, 0, 0, 4.352, None, 55.0, 0.0, 732.107, 40265.885
2018-08-17_10:15, 24.0, 403, 0, 0, 4.352, None, 55.0, 0.0, 729.013, 40095.715
2018-08-20_12:29, 23.25, None, None, 0.288, 4.352, None, None, None, None, None
2018-08-20_12:31, 23.625, None, None, 0, 4.352, None, None, None, None, None
2018-08-20_12:32, 24.625, None, None, 0, 4.352, None, None, None, None, None
2018-08-20_12:33, 23.875, None, None, 0, 4.352, None, None, None, None, None
2018-08-20_12:35, 23.8125, None, None, 0, 4.352, None, None, None, None, None
2018-08-20_12:36, 23.8125, None, None, 0, 4.352, None, None, None, None, None
2018-08-20_12:37, 24.0, None, None, 0, 4.352, None, None, None, None, None
2018-08-20_12:39, 24.0625, None, None, 0.576, 4.352, None, None, None, None, None
